投资方所在城市,融资方所在城市
杭州,成都
成都,泸州
长沙,杭州
北京,德州
北京,湘西土家族苗族自治州
北京,泉州
北京,徐州
佛山,宁波
佛山,上海
深圳,石家庄
深圳,银川
深圳,河源
深圳,三亚
深圳,中山
武汉,宜昌
福州,宁波
泉州,福州
九江,上海
宜春,上海
北京,成都
上海,伊犁哈萨克自治州
杭州,北京
北京,广州
北京,长沙
北京,金华
乌鲁木齐,昌吉回族自治州
苏州,深圳
南京,滁州
杭州,宁波
北京,上海
深圳,合肥
深圳,武汉
深圳,成都
上海,宣城
上海,常州
苏州,北京
嘉兴,杭州
深圳,成都
东莞,深圳
北京,宁波
北京,深圳
南昌,深圳
宜春,赣州
呼和浩特,乌兰察布
北京,保定
深圳,重庆
深圳,成都
长春,深圳
乌鲁木齐,阿克苏地区
郑州,上海
秦皇岛,成都
杭州,深圳
成都,德阳
威海,深圳
广州,珠海
广州,北京
上海,金华
上海,福州
北京,上海
北京,杭州
上海,舟山
上海,嘉兴
青岛,上海
深圳,东莞
北京,成都
天津,北京
上海,福州
上海,沈阳
上海,伊犁哈萨克自治州
重庆,深圳
深圳,重庆
深圳,郑州
深圳,天津
深圳,青岛
广州,武汉
拉萨,北京
成都,重庆
北京,南宁
南京,苏州
厦门,福州
厦门,深圳
大连,北京
北京,深圳
广州,上海
北京,拉萨
深圳,广州
上海,北京
北京,东莞
廊坊,保定
上海,南京
青岛,北京
上海,天津
深圳,郑州
深圳,西安
深圳,烟台
北京,苏州
北京,拉萨
上海,北京
北京,重庆
深圳,北京
上海,苏州
南京,张家口
北京,珠海
北京,嘉兴
北京,成都
青岛,烟台
北京,宁波
北京,西安
北京,潍坊
宁波,上海
杭州,宁波
上海,天津
广州,北京
深圳,长沙
重庆,上海
宁波,成都
郑州,北京
上海,湖州
上海,深圳
上海,宁波
上海,南通
上海,南京
上海,青岛
深圳,济南
北京,长春
珠海,深圳
广州,珠海
上海,南京
厦门,深圳
武汉,北京
上海,石家庄
上海,安庆
上海,上饶
上海,潍坊
郑州,洛阳
南京,徐州
南宁,崇左
南宁,桂林
石家庄,烟台
石家庄,潍坊
温州,上海
杭州,武汉
哈尔滨,深圳
成都,广元
成都,眉山
北京,博尔塔拉蒙古自治州
合肥,黄山
合肥,蚌埠
汕头,深圳
佛山,珠海
广州,宁波
深圳,汕头
重庆,芜湖
武汉,黄冈
九江,深圳
深圳,上海
北京,上海
北京,天津
广州,上海
北京,成都
长沙,湘潭
苏州,常州
苏州,南京
苏州,盐城
无锡,苏州
杭州,绍兴
深圳,广州
深圳,重庆
深圳,上海
上海,芜湖
武汉,荆门
武汉,鄂州
东莞,惠州
厦门,漳州
青岛,上海
杭州,上海
潍坊,青岛
上海,北京
杭州,北京
北京,西安
北京,广州
苏州,北京
北京,天津
长沙,深圳
上海,宁波
广州,深圳
厦门,泉州
郑州,平顶山
苏州,北京
常州,上海
南京,泰州
济南,泰安
济南,北京
嘉兴,上海
宁波,舟山
宁波,杭州
杭州,武汉
哈尔滨,牡丹江
北京,廊坊
北京,昆明
北京,无锡
合肥,上海
佛山,广州
深圳,佛山
上海,太原
武汉,襄阳
厦门,上海
北京,郑州
南京,上海
上海,天津
深圳,珠海
杭州,深圳
北京,广州
南京,北京
